#1              2                   3   4      5     6      7     8      9     10     11    12     13    14    15    16    17    18        19     20    21    22     23    24  25  26     27    28    29   30    31    32      33 34     35      36
#P-M-F          RA-DEC              sng u      su    g      sg    r      sr    i      si    z      sz    ebv   ppm   l     b     tp        Teff   dT    logg  dlogg  vr   dvr S/N DT(SP) d[pc] z[pc] mass  dmass t3d   logg3d  DT Dlogg  mass3d  dmass3d
2609-54476-0337 120415.35+204006.31 013 19.353 0.026 19.055 0.026 18.963 0.014 18.996 0.018 19.108 0.037 0.028 047.3 241.4 077.4 DA        005260 00107 7.115 0.245   32   21 013 03194 00110 00108 0.246 0.057 005259 7.115   -1  0.000 0.24604 0.04091
2609-54476-0499 120725.64+200448.61 015 19.676 0.021 19.162 0.015 19.162 0.015 19.362 0.026 19.548 0.066 0.026 007.1 245.6 077.7 DA        009821 00049 8.258 0.070    0    0 000 00000 00000 00000 0.000 0.000 009737 7.993  -84 -0.265 0.59586 0.02684
2610-54476-0372 121456.76+204058.68 025 18.082 0.026 17.702 0.023 17.857 0.016 18.088 0.015 18.305 0.024 0.029 018.1 248.7 079.5 DA        012159 00074 8.241 0.032   20    9 023 00078 00136 00134 0.743 0.024 012201 8.135   42 -0.106 0.68050 0.01313
2611-54477-0039 122720.29+194239.12 011 19.512 0.033 19.026 0.023 18.888 0.015 18.863 0.035 18.871 0.036 0.034 052.4 265.0 080.8 DA        007532 00061 7.021 0.224   16   12 010 00058 00234 00231 0.244 0.045 007527 6.815   -5 -0.206 0.20662 0.02451
2611-54477-0056 122437.02+190226.97 016 18.906 0.023 18.503 0.031 18.537 0.018 18.613 0.027 18.784 0.029 0.032 032.2 264.2 079.8 DA        009541 00041 8.041 0.075  -26   11 015 00145 00157 00155 0.622 0.042 009471 7.775  -70 -0.266 0.50000 0.02055
2611-54477-0129 122253.23+185011.85 031 17.650 0.025 17.216 0.044 17.281 0.015 17.431 0.016 17.619 0.020 0.033 175.5 263.1 079.4 DA        010674 00029 8.248 0.031   21    6 028 00147 00091 00090 0.745 0.024 010565 8.003 -109 -0.245 0.60330 0.01185
2611-54477-0586 122647.44+201925.49 009 19.822 0.032 19.396 0.021 19.498 0.016 19.674 0.023 19.906 0.063 0.033 025.9 262.0 081.2 DA        011210 00138 8.217 0.106   14   26 008 00261 00265 00262 0.723 0.065 011133 8.044  -77 -0.173 0.62703 0.04111
2612-54480-0262 122529.28+195658.71 013 18.848 0.030 18.917 0.020 19.260 0.023 19.381 0.022 19.777 0.059 0.030 014.5 261.9 080.7 DA        022805 00433 7.789 0.060   87   21 012 00000 00553 00546 0.530 0.026 022805 7.789    0  0.000 0.52957 0.01299
2612-54480-0263 122640.79+194952.57 011 19.665 0.029 19.075 0.018 18.834 0.022 18.596 0.031 18.840 0.040 0.034 155.7 263.8 080.8 DA        006381 00083 7.484 0.208    4   13 010 00249 00131 00129 0.365 0.076 006380 7.456   -1 -0.028 0.35500 0.05323
2612-54480-0488 122931.05+201607.28 039 17.322 0.023 16.979 0.014 17.163 0.015 17.404 0.015 17.679 0.023 0.028 052.0 265.6 081.5 DA        012806 00060 8.097 0.018   17    5 037 00278 00114 00113 0.660 0.010 012913 8.055  107 -0.042 0.63686 0.00690
2612-54480-0500 123010.06+202716.70 009 19.691 0.036 19.497 0.029 19.745 0.024 20.042 0.029 20.204 0.105 0.025 028.6 265.7 081.7 DA        010231 00086 8.433 0.103   55   23 008 01217 00221 00219 0.863 0.065 010127 8.162 -104 -0.271 0.69277 0.04378
2613-54481-0624 124237.23+195852.48 014 19.541 0.034 19.147 0.024 19.221 0.016 19.414 0.023 19.776 0.076 0.024 107.9 286.7 082.6 DA        011321 00103 8.248 0.069  134   17 012 00009 00235 00233 0.746 0.043 011254 8.084  -67 -0.164 0.64961 0.02738
2614-54481-0079 124859.38+194257.49 012 19.197 0.025 18.900 0.017 18.900 0.017 19.080 0.022 19.299 0.042 0.022 004.7 298.5 082.6 DA        010901 00086 8.485 0.090    0    0 000 00000 00000 00000 0.000 0.000 010792 8.257 -109 -0.228 0.75232 0.03936
2614-54481-0612 125037.75+205334.05 011 19.420 0.030 19.072 0.019 19.219 0.020 19.368 0.020 19.472 0.054 0.030 027.3 301.2 083.8 DA        011356 00133 8.257 0.085   25   22 010 00314 00227 00225 0.753 0.052 011293 8.096  -63 -0.161 0.65669 0.03409
2615-54483-0005 125714.33+184516.90 037 17.584 0.027 17.231 0.017 17.472 0.017 17.667 0.015 17.911 0.026 0.028 047.3 312.3 081.5 DA        013202 00075 8.144 0.022   40    6 033 00105 00127 00126 0.688 0.013 013310 8.124  108 -0.020 0.67614 0.00877
2615-54483-0344 125006.14+195524.25 022 18.565 0.025 18.211 0.027 18.119 0.015 18.179 0.017 18.230 0.026 0.021 107.3 300.4 082.8 DA        007913 00034 8.311 0.065   56    7 021 00376 00082 00082 0.784 0.042 007907 8.156   -6 -0.155 0.68478 0.02607
2615-54483-0446 125457.73+205419.28 013 19.443 0.032 18.829 0.018 18.631 0.022 18.578 0.016 18.612 0.032 0.038 084.1 310.5 083.7 DA        006465 00064 7.458 0.160  -41   10 013 00407 00126 00125 0.356 0.056 006464 7.421   -1 -0.037 0.34352 0.03842
2616-54499-0513 130327.39+194910.14 019 19.050 0.029 18.396 0.036 18.185 0.018 18.120 0.022 18.194 0.024 0.021 064.4 324.2 082.2 DA        006391 00046 7.778 0.090   -9    7 019 00359 00085 00085 0.489 0.037 006390 7.760   -1 -0.018 0.48010 0.02852
2617-54502-0385 130550.96+201450.30 019 18.761 0.025 18.373 0.025 18.341 0.015 18.395 0.019 18.513 0.030 0.023 107.9 329.3 082.4 DA        008529 00045 7.763 0.091   19    8 018 00124 00146 00145 0.491 0.036 008508 7.520  -21 -0.243 0.38788 0.02410
2618-54506-0186 131524.32+180244.57 012 18.845 0.030 19.021 0.020 19.372 0.020 19.702 0.028 19.977 0.108 0.017 021.3 335.5 079.4 DA        028310 00485 7.344 0.084  -64   23 010 00000 01050 01032 0.419 0.039 028310 7.344    0  0.000 0.41900 0.01941
2618-54506-0199 131521.53+181359.38 019 18.634 0.021 18.238 0.017 18.281 0.016 18.422 0.018 18.602 0.030 0.018 082.9 335.9 079.5 DA        010258 00043 8.366 0.056   27   11 017 00013 00126 00124 0.820 0.034 010153 8.095 -105 -0.271 0.65371 0.02258
2618-54506-0535 131635.32+193352.14 014 19.369 0.032 18.960 0.022 18.801 0.019 18.831 0.025 18.883 0.041 0.019 021.2 341.6 080.5 DA        007397 00054 7.754 0.131  -21    9 013 00257 00145 00143 0.482 0.053 007394 7.636   -3 -0.118 0.43142 0.03898
2619-54506-0260 132211.53+182826.80 012 19.515 0.029 19.145 0.029 19.238 0.019 19.465 0.023 19.752 0.068 0.022 038.0 343.8 078.8 DA        011432 00123 8.264 0.080   14   21 010 00025 00237 00233 0.759 0.050 011377 8.109  -55 -0.155 0.66420 0.03191
2619-54506-0406 132336.20+200910.32 013 19.458 0.031 18.981 0.021 18.995 0.014 19.068 0.021 19.171 0.045 0.019 030.7 351.2 079.9 DA        009037 00051 7.999 0.102   34   13 012 00038 00186 00183 0.598 0.056 008996 7.728  -41 -0.271 0.47657 0.03089
2620-54339-0280 221855.56+390220.80 019 17.288 0.018 17.241 0.012 17.615 0.025 17.868 0.037 18.214 0.037 0.130 027.1 093.2 -14.9 DA        023381 00321 7.992 0.043  -10   14 017 02688 00238 00061 0.625 0.021 023381 7.992    0  0.000 0.62534 0.01466
2620-54397-0110 222644.66+390114.13 056 15.250 0.019 15.563 0.013 16.033 0.010 16.376 0.013 16.665 0.017 0.100 024.6 094.5 -15.7 DA        051742 00510 7.894 0.029    0    0 000 00000 00000 00000 0.000 0.000 051742 7.894    0  0.000 0.63659 0.00755
2621-54380-0042 225123.67+293945.42 035 16.802 0.014 15.789 0.011 15.328 0.011 15.164 0.010 15.118 0.014 0.047 1252.0 093.9 -26.4 DAH:      005322 00051 7.588 0.110  -34   10 033 02097 00017 00007 0.396 0.045 005321 7.589   -1  0.001 0.39639 0.03160
2622-54095-0038 234325.49+083725.02 021 18.130 0.023 17.503 0.016 17.311 0.014 17.262 0.016 17.246 0.021 0.154 223.7 095.8 -50.6 DA        006562 00038 7.376 0.100    5    5 021 00251 00074 00057 0.330 0.032 006561 7.323   -1 -0.053 0.31341 0.02194
2623-54328-0368 230740.13+231940.41 015 18.862 0.029 18.396 0.014 18.411 0.016 18.450 0.019 18.538 0.038 0.197 080.7 094.1 -33.7 DA        009032 00039 8.007 0.055    0   12 013 00330 00135 00075 0.602 0.030 008992 7.736  -40 -0.271 0.48007 0.01719
2624-54380-0458 000410.42-034008.60 048 17.430 0.033 16.922 0.015 16.770 0.018 16.709 0.019 16.752 0.019 0.034 225.0 095.2 -64.0 DA        006822 00015 7.621 0.036   29    2 046 00357 00054 00048 0.421 0.016 006821 7.559   -1 -0.062 0.39473 0.01012
2627-54379-0013 225229.42+295719.59 005 20.374 0.049 19.813 0.016 19.665 0.017 19.618 0.019 19.756 0.078 0.046 096.9 094.3 -26.2 DA        007293 00136 7.869 0.381   62   29 005 00049 00195 00086 0.525 0.184 007291 7.770   -2 -0.099 0.48894 0.12168
2627-54379-0133 224856.68+295058.79 006 20.104 0.039 19.863 0.020 20.165 0.021 20.411 0.033 20.593 0.145 0.059 022.4 093.5 -25.9 DA        017384 00649 8.233 0.130   21   49 005 00343 00483 00211 0.746 0.077 017384 8.233    0  0.000 0.74608 0.05421
2627-54379-0170 224753.64+303942.80 008 19.980 0.045 19.620 0.017 19.834 0.023 19.990 0.030 19.950 0.121 0.047 018.7 093.7 -25.1 DA        012228 00252 7.741 0.150   24   33 007 00128 00443 00187 0.495 0.056 012285 7.704   57 -0.037 0.47913 0.03903
2627-54379-0192 224629.02+304445.03 005 20.547 0.050 20.055 0.019 19.881 0.017 19.846 0.024 19.918 0.083 0.053 034.8 093.5 -24.9 DA        007044 00139 7.528 0.429  -52   28 005 00168 00247 00104 0.384 0.156 007042 7.433   -2 -0.095 0.35061 0.10293
2627-54379-0205 224750.16+295145.27 008 19.576 0.033 19.495 0.019 19.824 0.025 20.149 0.033 20.356 0.145 0.058 013.7 093.3 -25.8 DA        019817 00576 7.899 0.095  -76   34 007 01073 00582 00253 0.572 0.044 019817 7.899    0  0.000 0.57223 0.03104
2627-54379-0280 224440.80+304531.79 015 18.732 0.014 18.882 0.015 18.882 0.015 19.126 0.019 19.275 0.051 0.057 008.2 093.1 -24.7 DA        019537 00609 8.110 0.092    0    0 000 00000 00000 00000 0.000 0.000 019537 8.110    0  0.000 0.67953 0.03333
2627-54379-0585 225243.56+311928.74 008 20.018 0.045 19.655 0.022 19.740 0.023 19.922 0.034 19.982 0.099 0.059 058.9 095.1 -25.1 DA        010701 00112 8.705 0.113   60   31 007 00181 00193 00082 1.017 0.058 010573 8.452 -128 -0.253 0.87573 0.05015
2628-54326-0027 234248.86+081137.34 019 19.191 0.023 18.901 0.016 19.119 0.017 19.276 0.020 19.477 0.062 0.134 037.1 095.3 -51.0 DA        023024 00462 7.421 0.058   69   14 017 00000 00619 00481 0.421 0.025 023024 7.421    0  0.000 0.42097 0.01231
2628-54326-0156 233945.73+083937.99 005 20.986 0.080 20.544 0.026 20.476 0.029 20.565 0.042 20.556 0.180 0.102 037.6 094.5 -50.2 DA        009591 00135 7.001 0.339 -207   36 005 00285 00701 00539 0.253 0.069 009459 6.730 -132 -0.271 0.20417 0.03225
2628-54326-0162 233829.14+082437.91 016 19.609 0.017 19.478 0.018 19.478 0.018 19.641 0.024 19.968 0.084 0.100 010.4 093.9 -50.3 DA        019003 00316 7.901 0.054    0    0 000 00000 00000 00000 0.000 0.000 019003 7.901    0  0.000 0.57128 0.01791
2628-54326-0185 233723.27+080532.90 006 20.816 0.073 20.382 0.024 20.533 0.032 20.661 0.045 21.156 0.257 0.095 016.5 093.3 -50.5 DA        013063 00630 7.346 0.159  -27   38 006 00649 00792 00611 0.355 0.042 013169 7.347  106  0.001 0.35626 0.02948
2628-54326-0340 233338.74+093347.74 012 19.221 0.017 19.989 0.022 19.989 0.022 20.342 0.035 20.663 0.151 0.067 005.5 093.1 -48.7 DA        053988 02448 7.866 0.138    0    0 000 00000 00000 00000 0.000 0.000 053988 7.866    0  0.000 0.62984 0.03445
2628-54326-0345 233327.56+091122.36 011 19.997 0.044 19.719 0.031 20.003 0.027 20.289 0.040 20.847 0.221 0.072 015.4 092.8 -49.1 DA        019118 00381 8.201 0.067    0   26 010 01133 00493 00373 0.726 0.041 019118 8.201    0  0.000 0.72582 0.02923
2628-54326-0360 233222.36+085251.27 022 19.093 0.031 18.790 0.021 19.024 0.018 19.232 0.020 19.564 0.073 0.067 017.6 092.2 -49.2 DA        016861 00171 7.961 0.035   40   12 020 00892 00338 00256 0.595 0.017 016861 7.961    0  0.000 0.59546 0.01230
2628-54326-0450 233824.64+100240.43 014 19.817 0.035 19.379 0.017 19.250 0.017 19.254 0.019 19.347 0.050 0.093 052.8 095.0 -48.8 DA        007688 00050 7.185 0.157   17   10 013 00027 00247 00185 0.280 0.040 007682 6.986   -6 -0.199 0.23913 0.02090
2629-54087-0055 231239.37+210639.40 020 19.606 0.037 19.233 0.017 19.377 0.017 19.573 0.025 20.005 0.126 0.206 013.4 094.1 -36.2 DA        020086 00304 7.669 0.046  -14   14 018 01324 00470 00277 0.495 0.017 020086 7.669    0  0.000 0.49467 0.01206
2629-54087-0118 231254.48+215628.21 020 19.589 0.015 19.504 0.034 19.504 0.034 19.829 0.228 20.102 0.180 0.186 000.0 094.6 -35.5 DA        022128 00294 8.046 0.040    0    0 000 00000 00000 00000 0.000 0.000 022128 8.046    0  0.000 0.65033 0.01427
2629-54087-0127 231131.27+204513.62 016 20.056 0.046 19.470 0.021 19.520 0.019 19.638 0.030 19.858 0.077 0.181 058.5 093.6 -36.4 DA        011460 00097 8.387 0.076    5   18 013 00842 00225 00133 0.835 0.047 011401 8.224  -59 -0.163 0.72861 0.03397
2629-54087-0204 230934.51+211821.91 046 18.348 0.017 18.076 0.010 18.389 0.013 18.623 0.015 18.910 0.037 0.147 020.4 093.4 -35.7 DA        016422 00070 8.072 0.015   15    6 041 01013 00222 00129 0.653 0.008 016422 8.072    0  0.000 0.65306 0.00580
2629-54087-0327 230611.86+230511.08 029 19.065 0.019 19.069 0.020 19.069 0.020 19.274 0.031 19.498 0.078 0.197 000.0 093.6 -33.7 DA        020720 00169 7.867 0.027    0    0 000 00000 00000 00000 0.000 0.000 020720 7.867    0  0.000 0.55887 0.00882
2629-54087-0411 230838.02+232153.39 007 21.145 0.087 20.624 0.025 20.734 0.033 20.921 0.051 21.255 0.278 0.161 017.9 094.3 -33.7 DA        014860 00546 8.018 0.119   63   45 006 00000 00575 00319 0.621 0.062 014860 8.018    0  0.000 0.62074 0.04403
2629-54087-0413 230905.25+230009.31 010 20.531 0.069 20.236 0.022 20.456 0.034 20.708 0.051 21.295 0.672 0.124 022.8 094.2 -34.1 DA        018010 00393 7.781 0.072  -15   27 009 00199 00722 00405 0.523 0.020 018010 7.781    0  0.000 0.52316 0.01406
2629-54087-0445 230906.07+233126.47 011 20.149 0.025 20.226 0.025 20.226 0.025 20.380 0.039 20.574 0.153 0.147 009.0 094.5 -33.6 DA        018907 00402 7.834 0.069    0    0 000 00000 00000 00000 0.000 0.000 018907 7.834    0  0.000 0.53903 0.01797
2629-54087-0470 230757.75+221026.54 010 20.074 0.021 20.510 0.033 20.510 0.033 20.854 0.061 21.372 0.380 0.157 000.0 093.5 -34.7 DA        049142 02122 7.587 0.172    0    0 000 00000 00000 00000 0.000 0.000 049142 7.587    0  0.000 0.52489 0.02542
2629-54087-0624 231506.27+223803.76 042 18.628 0.033 18.156 0.014 18.259 0.014 18.369 0.020 18.533 0.030 0.179 039.1 095.5 -35.1 DA        010319 00020 8.399 0.024   29    5 037 00279 00118 00067 0.841 0.015 010212 8.128 -107 -0.271 0.67265 0.00974
2629-54087-0625 231502.43+221003.01 026 19.130 0.026 19.096 0.019 19.259 0.017 19.443 0.026 19.577 0.060 0.223 044.1 095.3 -35.5 DA        029780 00165 7.868 0.035  -10   13 024 00000 00544 00316 0.581 0.021 029780 7.868    0  0.000 0.58064 0.01063
2630-54327-0009 000728.96-055122.28 012 19.853 0.023 19.670 0.023 19.670 0.023 19.916 0.034 19.851 0.113 0.029 000.0 094.8 -66.3 DA        013356 00390 7.933 0.072    0    0 000 00000 00000 00000 0.000 0.000 013469 7.929  113 -0.004 0.57164 0.02532
2630-54327-0078 000757.81-050251.54 023 18.898 0.013 18.771 0.019 18.771 0.019 18.926 0.019 19.134 0.054 0.027 000.0 095.9 -65.6 DA        015459 00176 7.828 0.040    0    0 000 00000 00000 00000 0.000 0.000 015459 7.828    0  0.000 0.52760 0.00924
2630-54327-0081 000437.66-055731.33 017 19.629 0.031 19.160 0.019 19.392 0.017 19.646 0.023 19.819 0.071 0.032 027.6 093.1 -66.1 DA        014978 00268 7.516 0.062   16   17 014 01238 00515 00471 0.417 0.022 014978 7.516    0  0.000 0.41746 0.01535
2630-54327-0114 000635.36-050529.70 022 19.243 0.060 18.773 0.015 18.598 0.015 18.557 0.022 18.613 0.027 0.029 072.9 095.1 -65.5 DA        006873 00037 7.865 0.081   17    6 021 00337 00109 00100 0.524 0.034 006872 7.811   -1 -0.054 0.50761 0.02341
2630-54327-0137 000354.15-055530.72 009 20.532 0.067 19.924 0.022 19.676 0.027 19.602 0.027 19.664 0.085 0.037 000.0 092.7 -66.0 DA        006529 00094 8.209 0.185   86   19 009 00161 00131 00120 0.713 0.114 006528 8.190   -1 -0.019 0.70311 0.07984
2630-54327-0179 000411.01-052641.32 010 20.323 0.018 20.143 0.025 20.143 0.025 20.388 0.032 20.566 0.130 0.033 000.0 093.4 -65.6 DA        015818 00389 8.077 0.086    0    0 000 00000 00000 00000 0.000 0.000 015818 8.077    0  0.000 0.65468 0.03308
2630-54327-0189 000331.08-051125.95 017 19.350 0.029 19.249 0.014 19.551 0.017 19.862 0.025 20.204 0.096 0.035 024.8 093.3 -65.3 DA        020767 00316 7.915 0.051   20   17 014 01449 00552 00502 0.582 0.024 020767 7.915    0  0.000 0.58178 0.01692
2630-54327-0210 000309.26-060233.48 008 20.572 0.058 20.060 0.021 19.979 0.020 19.972 0.027 19.958 0.074 0.036 054.6 092.2 -66.0 DA        007343 00091 7.554 0.281  -75   19 007 00387 00265 00242 0.395 0.109 007340 7.426   -3 -0.128 0.34978 0.06886
2630-54327-0235 000241.09-052627.28 014 19.097 0.026 19.482 0.022 19.482 0.022 19.812 0.032 19.958 0.106 0.034 000.0 092.6 -65.4 DA        024018 00390 7.812 0.048    0    0 000 00000 00000 00000 0.000 0.000 024018 7.812    0  0.000 0.54213 0.01356
2630-54327-0265 000120.42-052140.89 005 21.196 0.118 20.603 0.037 20.408 0.027 20.330 0.037 20.334 0.131 0.030 062.3 092.0 -65.2 DA        008012 00114 7.483 0.341  -48   28 005 00909 00399 00362 0.372 0.123 008002 7.281  -10 -0.202 0.30871 0.07035
2630-54327-0273 000208.73-050855.14 015 19.672 0.022 19.733 0.021 19.733 0.021 20.008 0.043 20.109 0.142 0.028 000.0 092.6 -65.1 DA        017231 00259 7.851 0.053    0    0 000 00000 00000 00000 0.000 0.000 017231 7.851    0  0.000 0.54246 0.01560
2630-54327-0359 000100.42-042742.87 028 18.814 0.029 18.513 0.043 18.707 0.020 18.882 0.026 19.165 0.047 0.038 016.9 092.8 -64.3 DA        016858 00135 7.637 0.028   21    8 026 02419 00377 00340 0.471 0.010 016858 7.637    0  0.000 0.47053 0.00679
2630-54327-0377 000222.88-035418.88 009 20.591 0.063 20.070 0.021 20.160 0.027 20.178 0.030 20.131 0.100 0.032 036.2 094.0 -64.0 DA        009709 00077 8.298 0.129   -2   23 008 00093 00273 00245 0.779 0.081 009632 8.034  -77 -0.264 0.61813 0.05071
2630-54327-0539 000505.85-040449.26 034 18.237 0.022 18.139 0.017 18.460 0.018 18.758 0.019 19.006 0.042 0.037 029.4 095.3 -64.4 DA        021996 00140 7.910 0.021   96    7 032 02351 00350 00316 0.582 0.009 021996 7.910    0  0.000 0.58224 0.00671
2630-54327-0551 000611.23-044455.59 039 18.137 0.017 17.851 0.022 18.187 0.035 18.423 0.057 18.748 0.033 0.025 044.1 095.2 -65.2 DA        017315 00089 7.946 0.018   25    6 035 00348 00252 00228 0.589 0.009 017315 7.946    0  0.000 0.58891 0.00621
2630-54327-0557 000608.57-044642.24 014 19.904 0.044 19.471 0.024 19.404 0.021 19.422 0.023 19.371 0.047 0.025 059.6 095.2 -65.2 DA        007771 00052 7.248 0.160   37   10 013 00117 00275 00249 0.297 0.044 007764 7.049   -7 -0.199 0.25049 0.02318
2630-54327-0633 000803.12-044839.78 017 19.554 0.020 19.350 0.027 19.350 0.027 19.555 0.026 19.682 0.066 0.028 003.8 096.2 -65.4 DA        012386 00123 7.754 0.061    0    0 000 00000 00000 00000 0.000 0.000 012464 7.723   78 -0.031 0.48785 0.01842
2630-54327-0640 000822.18-044730.77 015 19.674 0.021 19.688 0.028 19.688 0.028 19.928 0.030 20.156 0.100 0.027 005.3 096.3 -65.4 DA        018255 00271 7.761 0.049    0    0 000 00000 00000 00000 0.000 0.000 018255 7.761    0  0.000 0.52198 0.00806
2634-54110-0207 022149.96-003013.57 006 20.702 0.064 20.274 0.039 20.188 0.037 20.255 0.044 20.367 0.118 0.031 027.0 165.9 -55.7 DA        008662 00363 7.995 0.708    0    0 000 00000 00000 00000 0.000 0.000 008638 7.743  -24 -0.252 0.48182 0.22561
2636-54082-0056 022655.87+000347.41 012 20.161 0.038 19.723 0.017 19.933 0.027 20.126 0.025 20.421 0.130 0.029 015.0 167.0 -54.4 DA        011730 00152 8.485 0.086   72   23 010 00524 00275 00224 0.897 0.054 011693 8.331  -37 -0.154 0.80035 0.03846
2636-54082-0238 022222.85-005026.52 015 20.110 0.050 19.680 0.020 19.680 0.020 19.980 0.030 20.090 0.100 0.000 000.0 000.0 000.0 DA        011123 00087 8.185 0.074    0    0 000 00000 00000 00000 0.000 0.000 011038 8.004  -85 -0.181 0.60500 0.02808
2636-54082-0280 022113.10-004536.57 017 19.663 0.033 19.212 0.020 19.169 0.018 19.243 0.019 19.312 0.045 0.028 066.6 165.9 -55.9 DA        008204 00043 7.620 0.108   -7   10 015 00256 00218 00180 0.428 0.045 008191 7.406  -13 -0.214 0.34754 0.02422
2636-54082-0412 022036.12+001238.02 018 19.821 0.040 19.403 0.016 19.241 0.018 19.252 0.026 19.232 0.049 0.031 085.5 164.7 -55.3 DA        007094 00045 7.999 0.105   19    8 017 00349 00142 00117 0.593 0.058 007092 7.928   -2 -0.071 0.55369 0.03476
2636-54082-0530 022435.47+003857.50 028 19.387 0.050 18.979 0.018 19.037 0.020 19.102 0.019 19.227 0.049 0.034 037.1 165.6 -54.3 DA        009657 00026 8.278 0.041   31    7 025 00009 00169 00137 0.767 0.028 009584 8.014  -73 -0.264 0.60711 0.01592
2639-54116-0414 034055.88+004939.06 006 21.085 0.067 20.524 0.026 20.703 0.032 20.809 0.048 20.897 0.182 0.079 022.1 185.5 -40.6 DA        012660 00606 7.596 0.340    0    0 000 00000 00000 00000 0.000 0.000 012759 7.587   99 -0.009 0.43516 0.08418
2640-54474-0189 034027.66-002345.47 003 21.227 0.079 20.837 0.033 20.827 0.032 20.371 0.033 19.866 0.081 0.067 000.0 186.7 -41.4 DA+M      006869 00148 8.000 0.000    0    0 000 00000 00000 00000 0.000 0.000 006868 7.951   -1 -0.049 0.56570 0.00035
2641-54230-0038 133818.18+190249.71 007 19.595 0.034 19.542 0.022 19.928 0.023 20.179 0.029 20.615 0.159 0.015 017.8 358.5 076.5 DA        023530 00871 7.810 0.113   56   38 006 03256 00795 00773 0.540 0.034 023530 7.810    0  0.000 0.54007 0.02662
2641-54230-0357 132835.23+190418.69 011 19.765 0.039 19.098 0.022 18.835 0.026 18.758 0.029 18.754 0.038 0.018 169.5 351.5 078.3 DA        006091 00084 7.076 0.217  -12   12 011 00447 00153 00150 0.245 0.047 006090 7.045   -1 -0.031 0.23980 0.03196
2642-54232-0402 134110.43+195836.99 008 20.015 0.044 19.571 0.029 19.823 0.022 19.990 0.032 20.285 0.119 0.018 012.9 003.4 076.6 DA        011665 00196 7.636 0.158   79   30 007 00936 00468 00455 0.450 0.064 011623 7.578  -42 -0.058 0.42584 0.04211
2642-54232-0547 134244.37+192145.53 011 18.576 0.024 18.186 0.017 18.218 0.012 18.344 0.019 18.493 0.030 0.020 032.1 002.2 075.9 DA        009875 00066 8.056 0.104   48   18 010 00065 00144 00140 0.631 0.058 009784 7.788  -91 -0.268 0.50764 0.02881
2642-54232-0553 134323.01+190300.75 007 20.190 0.053 19.707 0.025 19.809 0.022 20.002 0.030 20.193 0.100 0.018 020.6 001.6 075.6 DA        010492 00112 8.235 0.144   21   31 007 00196 00284 00275 0.735 0.088 010382 7.974 -110 -0.261 0.58716 0.05126
2642-54232-0627 134435.27+191343.63 023 18.363 0.030 17.924 0.020 18.119 0.019 18.362 0.018 18.543 0.029 0.019 046.6 002.8 075.5 DA        013199 00146 8.083 0.034   18   10 020 00306 00181 00176 0.653 0.019 013311 8.067  112 -0.016 0.64418 0.01316
2643-54208-0260 115948.40+213748.78 011 19.336 0.039 18.924 0.014 19.166 0.028 19.394 0.023 19.623 0.068 0.019 050.3 235.2 077.0 DA        014408 00485 7.912 0.081   50   24 010 00588 00349 00340 0.565 0.039 014457 7.913   49  0.001 0.56580 0.02768
2643-54208-0387 115852.14+225616.10 017 18.566 0.027 18.265 0.031 18.394 0.032 18.310 0.177 18.607 0.042 0.025 043.1 229.4 077.4 DA        009649 00041 7.999 0.072   26   10 016 00874 00149 00145 0.599 0.039 009570 7.733  -79 -0.266 0.48098 0.02248
2643-54208-0515 120242.85+223553.77 008 20.073 0.056 19.463 0.020 19.271 0.025 19.264 0.024 19.307 0.066 0.025 057.1 232.6 078.1 DA        006592 00117 8.271 0.193   10   22 008 00491 00107 00104 0.755 0.121 006591 8.249   -1 -0.022 0.73791 0.08497
2643-54208-0543 120456.48+224402.42 008 19.748 0.035 19.471 0.016 19.752 0.019 19.981 0.030 20.288 0.110 0.024 038.6 233.0 078.6 DA        017899 00476 8.210 0.093   46   37 007 02144 00440 00431 0.730 0.055 017899 8.210    0  0.000 0.73005 0.03915
2644-54210-0115 121257.44+221524.36 018 18.847 0.021 18.536 0.037 18.636 0.025 18.894 0.029 19.050 0.048 0.023 029.8 240.0 080.0 DA        013665 00180 8.504 0.047   65   16 015 00505 00179 00176 0.910 0.029 013733 8.487   68 -0.017 0.89987 0.02024
2644-54210-0167 121033.24+221402.64 036 17.434 0.019 17.073 0.032 17.317 0.025 17.545 0.013 17.811 0.031 0.031 055.6 238.5 079.5 DAH       014796 00171 8.502 0.018    6    7 032 00306 00102 00100 0.910 0.011 014796 8.502    0  0.000 0.91023 0.00780
2644-54210-0177 121004.56+221914.44 012 19.454 0.029 19.034 0.023 19.029 0.019 19.134 0.021 19.298 0.047 0.032 080.2 237.8 079.5 DA        008259 00062 7.875 0.154   26   13 011 00898 00176 00173 0.530 0.071 008246 7.664  -13 -0.211 0.44721 0.04725
2644-54210-0453 120943.68+230435.94 009 19.663 0.037 19.365 0.045 19.720 0.022 19.984 0.046 20.403 0.139 0.028 017.5 233.9 079.7 DA        017500 00374 8.061 0.074   29   30 008 00350 00470 00462 0.649 0.039 017500 8.061    0  0.000 0.64911 0.02763
2644-54210-0496 120914.91+224905.03 013 19.434 0.030 19.018 0.021 19.307 0.030 19.546 0.024 19.670 0.068 0.026 013.8 234.9 079.5 DA        016219 00243 8.097 0.052  -48   21 012 00000 00359 00353 0.666 0.040 016219 8.097    0  0.000 0.66639 0.02020
