#1              2                   3   4      5     6      7     8      9     10     11    12     13    14    15    16    17    18        19     20    21    22     23    24  25  26     27    28    29   30    31    32      33 34     35      36
#P-M-F          RA-DEC              sng u      su    g      sg    r      sr    i      si    z      sz    ebv   ppm   l     b     tp        Teff   dT    logg  dlogg  vr   dvr S/N DT(SP) d[pc] z[pc] mass  dmass t3d   logg3d  DT Dlogg  mass3d  dmass3d
0283-51584-0349 113901.22+000321.79 003 19.128 0.034 18.834 0.020 19.027 0.018 19.210 0.023 19.470 0.060 0.020 011.1 267.2 057.8 DA+M:     013256 00493 8.541 0.209    0    0 000 00000 00000 00000 0.000 0.000 013329 8.490   73 -0.051 0.90135 0.08629
0283-51959-0117 114720.41-002405.66 016 18.624 0.022 18.367 0.025 18.651 0.016 18.898 0.025 19.217 0.033 0.027 031.7 271.1 058.5 DA        017517 00236 7.928 0.047   70   16 015 01173 00318 00271 0.581 0.023 017517 7.928    0  0.000 0.58051 0.01610
0283-51959-0142 114608.73-002439.16 021 17.782 0.018 17.998 0.018 18.415 0.018 18.826 0.018 19.130 0.044 0.022 024.8 270.6 058.3 DA        029578 00190 7.781 0.042   22   15 019 00024 00504 00429 0.543 0.017 029578 7.781    0  0.000 0.54262 0.01175
0283-51959-0145 114624.46-002822.87 007 19.915 0.034 19.555 0.024 19.898 0.027 20.109 0.034 20.382 0.115 0.024 026.5 270.8 058.3 DA        018374 00641 7.872 0.114   79   41 006 02711 00609 00518 0.555 0.044 018374 7.872    0  0.000 0.55529 0.03215
0283-51959-0353 114026.13+001218.66 009 19.700 0.033 19.302 0.023 19.464 0.015 19.665 0.024 19.818 0.057 0.023 022.0 267.7 058.1 DA        011697 00179 8.323 0.101   29   28 008 00098 00255 00216 0.796 0.065 011672 8.182  -25 -0.141 0.70732 0.04397
0283-51959-0436 114312.57+000926.51 019 18.556 0.018 18.154 0.027 18.172 0.017 17.620 0.023 17.057 0.030 0.023 024.3 268.8 058.4 DA+M      009894 00038 7.754 0.065   22   10 018 04068 00153 00130 0.492 0.029 009789 7.484 -105 -0.270 0.38127 0.01569
0283-51959-0603 114756.01+004340.86 016 18.557 0.019 18.172 0.015 18.198 0.013 18.333 0.020 18.519 0.027 0.025 019.4 270.3 059.5 DA        009787 00044 8.328 0.067   10   12 015 00005 00116 00100 0.796 0.042 009706 8.064  -81 -0.264 0.63514 0.02661
0284-51943-0233 115105.83-001135.87 011 19.669 0.023 19.129 0.022 18.943 0.016 18.925 0.018 18.897 0.046 0.019 045.0 272.5 059.1 DA        006928 00075 7.614 0.207    3   13 010 00139 00151 00130 0.419 0.085 006926 7.539   -2 -0.075 0.38747 0.05577
0284-51943-0440 115156.94-000725.49 020 18.638 0.015 18.140 0.021 18.153 0.017 17.826 0.017 17.321 0.023 0.022 056.0 272.8 059.2 DA+M      009881 00037 7.444 0.080  -56    9 018 03083 00187 00161 0.369 0.026 009755 7.173 -126 -0.271 0.28966 0.01407
0284-51943-0469 115236.99+002141.84 033 17.803 0.022 17.295 0.030 17.350 0.015 17.309 0.020 17.147 0.021 0.020 024.5 272.7 059.7 DA+M      010231 00023 7.861 0.033   17    5 031 00769 00110 00095 0.529 0.011 010113 7.593 -118 -0.268 0.42473 0.00993
0286-51999-0169 120604.13-003039.48 021 18.010 0.021 17.547 0.015 17.554 0.013 17.662 0.013 17.851 0.025 0.019 143.2 279.6 060.3 DA        009136 00032 7.905 0.069  -24    8 020 00128 00106 00092 0.547 0.031 009088 7.634  -48 -0.271 0.43819 0.02051
0287-52023-0253 121105.25-004628.45 014 18.679 0.029 18.737 0.023 19.057 0.017 19.378 0.023 19.602 0.059 0.018 042.2 282.1 060.5 DAH       023741 00368 9.223 0.052  138   30 012 02178 00168 00146 1.248 0.016 023741 9.223    0  0.000 1.24847 0.01105
0287-52023-0269 120950.44-003736.71 014 19.093 0.019 18.612 0.020 18.825 0.017 19.067 0.021 19.285 0.049 0.018 025.5 281.4 060.5 DA        011035 00090 8.391 0.083  106   18 012 01056 00173 00150 0.837 0.051 010938 8.184  -97 -0.207 0.70725 0.03583
0288-52000-0189 121843.29-004217.50 012 18.768 0.024 19.200 0.018 19.200 0.018 19.478 0.025 19.712 0.081 0.029 005.8 285.8 061.1 DA        024219 00464 8.150 0.061    0    0 000 00000 00000 00000 0.000 0.000 024219 8.150    0  0.000 0.70912 0.02266
0288-52000-0276 121635.37-002656.23 006 19.842 0.036 19.584 0.028 19.852 0.024 20.073 0.030 20.124 0.086 0.017 014.0 284.6 061.2 DAH       014939 00520 8.498 0.286    0    0 000 00000 00000 00000 0.000 0.000 014939 8.498    0  0.000 0.90783 0.11857
0288-52000-0412 121830.68+004216.25 016 18.950 0.019 18.503 0.023 18.607 0.018 18.755 0.018 18.961 0.036 0.017 048.3 284.9 062.4 DA        011417 00087 8.109 0.057   95   14 015 00658 00199 00177 0.664 0.033 011364 7.969  -53 -0.140 0.58693 0.02123
0288-52000-0446 122020.72+004358.61 012 19.185 0.024 18.813 0.021 18.865 0.017 18.906 0.019 19.092 0.038 0.017 050.5 285.9 062.6 DA        009385 00055 8.016 0.090   34   15 012 00030 00182 00162 0.608 0.050 009324 7.748  -61 -0.268 0.48674 0.02595
0289-51990-0106 122942.85-001637.69 009 18.932 0.022 18.832 0.018 19.156 0.016 19.447 0.027 19.735 0.080 0.020 012.6 291.3 062.1 DA        020483 00570 7.997 0.088   10   31 008 01548 00437 00386 0.622 0.044 020483 7.997    0  0.000 0.62173 0.03082
0289-51990-0109 122959.23-001714.52 023 17.794 0.017 17.361 0.017 17.578 0.013 17.841 0.016 18.053 0.025 0.020 033.4 291.4 062.1 DA        014249 00243 7.952 0.036   24   11 020 00000 00166 00147 0.585 0.018 014308 7.953   59  0.001 0.58548 0.01259
0290-51941-0232 123452.87-003819.27 014 18.638 0.025 18.215 0.018 18.278 0.017 18.400 0.021 18.532 0.039 0.022 051.9 294.1 061.9 DA        009628 00051 7.921 0.105    0   14 013 00130 00155 00137 0.557 0.046 009548 7.655  -80 -0.266 0.44901 0.03125
0291-51928-0307 123836.35-004042.27 031 17.037 0.026 17.419 0.015 17.779 0.013 17.751 0.021 17.519 0.020 0.019 018.1 296.1 062.0 DA+M      044243 00500 7.475 0.053    0    0 000 00000 00000 00000 00000 000000044243 7.475    0  0.000 0.47100 0.01600
0292-51609-0052 125214.27-005057.55 031 17.648 0.015 17.242 0.021 17.496 0.016 17.714 0.018 17.973 0.027 0.024 106.9 303.4 062.0 DA        012856 00084 8.057 0.028   19    7 027 00340 00135 00119 0.638 0.015 012967 8.023  111 -0.034 0.61949 0.01058
0292-51609-0097 125139.78-010254.11 016 18.830 0.021 18.362 0.024 18.490 0.013 18.592 0.017 18.780 0.039 0.027 048.5 303.1 061.8 DA        010645 00060 8.374 0.069   18   15 014 00010 00143 00126 0.826 0.043 010534 8.122 -111 -0.252 0.66984 0.02786
0292-51609-0136 124959.11-005101.87 011 19.446 0.035 19.008 0.019 18.928 0.016 18.951 0.023 19.052 0.057 0.021 076.2 302.2 062.0 DA        007542 00066 7.296 0.218   50   13 010 00482 00206 00182 0.311 0.063 007538 7.122   -4 -0.174 0.26377 0.03677
0293-51689-0211 125720.78-010309.03 021 18.482 0.018 18.076 0.025 18.191 0.012 18.329 0.021 18.514 0.033 0.018 016.1 306.1 061.8 DA        010961 00050 8.478 0.048   35   11 019 00093 00121 00106 0.892 0.030 010855 8.258 -106 -0.220 0.75322 0.02337
0293-51689-0482 125816.99+000710.24 020 18.465 0.015 18.442 0.019 18.442 0.019 18.670 0.018 19.029 0.044 0.018 279.8 306.7 062.9 DA4       014885 00162 7.832 0.037    0    0 000 00000 00000 00000 0.000 0.000 014885 7.832    0  0.000 0.52787 0.00866
0293-51689-0603 130110.51+010739.92 046 16.695 0.014 16.314 0.014 16.474 0.019 16.609 0.013 16.820 0.017 0.021 031.5 308.5 063.9 DA        011149 00025 8.066 0.016   29    4 043 00025 00074 00067 0.639 0.009 011066 7.899  -83 -0.167 0.54963 0.00571
0293-51689-0616 130211.77+004726.71 010 19.490 0.027 19.091 0.021 19.339 0.023 19.553 0.027 19.676 0.069 0.020 078.6 309.0 063.5 DA        012072 00204 8.054 0.091  -12   25 009 00950 00295 00264 0.635 0.050 012112 7.968   40 -0.086 0.58824 0.03358
0293-51994-0190 125652.84-000110.55 009 19.676 0.030 19.234 0.019 19.434 0.019 19.688 0.029 19.903 0.103 0.017 017.7 305.9 062.8 DA        013135 00365 8.019 0.092  136   29 008 00019 00345 00307 0.618 0.049 013250 8.004  115 -0.015 0.61010 0.03426
0293-51994-0325 125427.48+010151.92 008 19.719 0.034 19.338 0.018 19.613 0.021 19.840 0.033 20.196 0.129 0.016 015.7 304.6 063.9 DA        014314 00421 7.845 0.095   -3   33 007 00105 00445 00399 0.532 0.035 014370 7.846   56  0.001 0.53278 0.02572
0293-51994-0355 125318.91+000423.57 006 20.232 0.038 19.740 0.021 19.937 0.023 20.066 0.028 20.334 0.122 0.019 029.2 304.0 062.9 DA        010681 00147 8.317 0.150   38   36 006 00497 00283 00252 0.791 0.094 010572 8.070 -109 -0.247 0.64026 0.05810
0293-51994-0395 125355.28+001429.39 011 19.377 0.023 18.963 0.019 19.173 0.021 19.372 0.020 19.518 0.069 0.021 017.6 304.3 063.1 DA        012436 00194 8.371 0.072   51   23 010 00239 00227 00203 0.826 0.044 012495 8.266   59 -0.105 0.76280 0.03243
0294-51986-0331 130244.96+004430.66 011 19.184 0.023 18.693 0.020 18.542 0.021 18.498 0.020 18.475 0.029 0.021 076.0 309.3 063.5 DA        007000 00067 7.808 0.158   22   12 011 00109 00113 00101 0.507 0.069 006998 7.738   -2 -0.070 0.47296 0.04667
0294-51986-0513 130907.15+000626.41 021 18.360 0.021 17.959 0.015 18.077 0.017 18.213 0.018 18.456 0.032 0.019 016.9 312.6 062.6 DA        010848 00052 8.351 0.043   33   10 019 00090 00124 00110 0.811 0.026 010743 8.122 -105 -0.229 0.67024 0.01766
0297-51959-0004 132928.22-005500.46 014 18.989 0.029 18.617 0.017 18.636 0.017 18.698 0.015 18.920 0.045 0.027 077.4 322.5 060.5 DA        009596 00048 8.053 0.088   34   14 013 00014 00166 00144 0.629 0.049 009522 7.787  -74 -0.266 0.50609 0.02402
0297-51959-0360 132340.35+003338.72 014 18.934 0.022 18.512 0.018 18.437 0.019 18.440 0.017 18.535 0.031 0.020 026.9 320.5 062.3 DA        007504 00048 8.093 0.107   26   10 014 00483 00101 00089 0.647 0.062 007501 7.980   -3 -0.113 0.58318 0.04106
0298-51955-0024 133831.75-002327.97 036 17.499 0.025 17.088 0.017 17.269 0.018 17.450 0.024 17.692 0.022 0.028 067.5 327.2 060.2 DA        011711 00041 7.992 0.030   52    6 032 00081 00119 00103 0.600 0.016 011698 7.891  -13 -0.101 0.54734 0.01055
0298-51955-0034 133838.48-000712.41 010 19.025 0.023 18.730 0.016 18.795 0.016 18.955 0.018 19.013 0.049 0.022 056.0 327.5 060.5 DA        010280 00079 8.636 0.103   56   23 010 00093 00127 00111 0.985 0.054 010168 8.365 -112 -0.271 0.81914 0.04584
0298-51955-0576 133606.57+005039.43 009 19.384 0.025 18.959 0.020 18.759 0.017 18.729 0.017 18.772 0.040 0.019 060.9 327.0 061.6 DA        006991 00080 7.435 0.228   -4   14 009 00254 00156 00137 0.351 0.080 006989 7.337   -2 -0.098 0.32109 0.04955
0298-51955-0608 133714.44+010443.80 011 18.910 0.031 18.564 0.014 18.695 0.022 18.826 0.020 19.078 0.056 0.020 013.1 327.7 061.7 DA        011702 00156 8.909 0.089   34   24 010 00265 00112 00098 1.124 0.042 011588 8.733 -114 -0.176 1.03412 0.03045
0299-51671-0022 134605.90-004156.07 014 19.201 0.025 18.780 0.023 18.876 0.019 19.037 0.020 19.251 0.043 0.023 026.7 330.4 059.2 DA        010869 00081 8.361 0.083   51   18 012 00123 00178 00153 0.818 0.051 010764 8.135 -105 -0.226 0.67775 0.03254
0299-51671-0194 133947.74-002003.58 024 18.559 0.021 18.109 0.024 18.043 0.022 18.036 0.023 18.145 0.025 0.030 031.2 327.8 060.2 DA        007765 00030 7.950 0.071   17    5 023 00189 00098 00085 0.568 0.038 007760 7.801   -5 -0.149 0.50622 0.01977
0299-51671-0385 133926.10+002641.57 010 19.775 0.022 19.341 0.019 19.341 0.019 19.521 0.024 19.741 0.080 0.026 009.6 328.3 060.9 DA        011405 00134 8.008 0.099    0    0 000 00000 00000 00000 0.000 0.000 011349 7.879  -56 -0.129 0.54046 0.02955
0299-51671-0531 134236.48+004743.09 015 19.276 0.030 18.963 0.024 19.189 0.019 19.413 0.026 19.750 0.101 0.025 036.3 330.1 060.9 DA        015844 00222 8.101 0.048  -44   19 013 01219 00334 00292 0.668 0.026 015844 8.101    0  0.000 0.66787 0.01874
0300-51666-0288 134550.93-005536.45 040 17.119 0.019 16.700 0.024 16.869 0.018 17.067 0.018 17.324 0.032 0.024 091.9 330.1 059.0 DA        011799 00040 8.095 0.020    3    5 037 00052 00094 00081 0.657 0.011 011799 7.987    0 -0.108 0.59759 0.00755
0300-51943-0042 135201.99-005418.97 023 18.276 0.019 17.726 0.015 17.573 0.014 17.537 0.014 17.553 0.018 0.037 082.0 332.8 058.4 DA        006872 00034 7.807 0.077   38    6 023 00251 00071 00060 0.506 0.031 006870 7.750   -2 -0.057 0.47778 0.02514
0300-51943-0282 134550.93-005536.44 040 17.119 0.024 16.869 0.018 16.869 0.018 17.067 0.018 17.324 0.032 0.024 091.9 330.1 059.0 DA        012106 00047 8.174 0.022    0    0 000 00000 00000 00000 0.000 0.000 012146 8.074   40 -0.100 0.64581 0.00869
0301-51942-0045 140104.61-005621.60 012 19.512 0.028 18.990 0.021 18.849 0.021 18.842 0.020 18.880 0.041 0.039 056.4 336.6 057.3 DA        007318 00054 6.916 0.068  -60   11 012 00026 00263 00222 0.222 0.012 007315 6.712   -3 -0.204 0.19052 0.00686
0301-51942-0151 135925.32-003426.45 041 17.182 0.016 16.811 0.019 16.918 0.012 17.056 0.016 17.296 0.017 0.034 106.0 336.2 057.8 DA        010643 00021 8.453 0.021   48    4 038 00267 00066 00056 0.877 0.013 010530 8.199 -113 -0.254 0.71336 0.00721
0301-51942-0254 135450.21-005149.10 032 17.699 0.022 17.265 0.025 17.141 0.015 17.109 0.017 17.203 0.017 0.039 186.6 334.1 058.1 DA        007298 00024 8.154 0.049   16    4 031 00333 00051 00043 0.682 0.029 007296 8.066   -2 -0.088 0.63094 0.01991
0301-51942-0324 135459.89+010819.28 044 16.795 0.013 16.368 0.014 16.538 0.016 16.720 0.014 16.952 0.025 0.027 134.8 336.0 059.9 DA        011873 00036 8.107 0.017   42    4 041 00362 00080 00070 0.664 0.009 011883 8.002   10 -0.105 0.60594 0.00643
0301-51942-0563 140115.18+004402.92 010 19.751 0.029 19.243 0.017 19.110 0.017 19.060 0.019 19.081 0.044 0.032 026.0 338.2 058.7 DA        007337 00065 7.353 0.215    0   13 010 00049 00204 00175 0.327 0.067 007334 7.206   -3 -0.147 0.28271 0.03941
0302-51688-0479 140701.61+003008.68 029 18.017 0.016 17.595 0.015 17.691 0.021 17.799 0.019 17.967 0.023 0.039 083.8 340.3 057.8 DA        010349 00028 8.352 0.031   -7    7 027 00152 00097 00082 0.811 0.019 010241 8.082 -108 -0.270 0.64634 0.01242
0303-51615-0228 141356.52-002643.19 027 17.786 0.018 17.429 0.014 17.497 0.020 17.595 0.023 17.727 0.022 0.038 095.1 342.0 056.0 DA        009576 00025 8.407 0.037   20    6 025 00145 00076 00063 0.845 0.024 009508 8.143  -68 -0.264 0.68009 0.01558
0303-51615-0588 141839.65+003154.36 012 18.911 0.030 18.673 0.041 18.459 0.016 18.495 0.017 18.639 0.041 0.033 118.7 344.8 056.2 DA        008487 00063 7.904 0.149  -58   13 012 00120 00141 00117 0.545 0.070 008468 7.668  -19 -0.236 0.44990 0.04584
0304-51609-0073 142120.19-004626.25 024 18.090 0.027 17.598 0.016 17.605 0.023 18.030 0.029 17.838 0.037 0.045 051.7 344.3 054.7 DA        009000 00024 8.014 0.034  -25    7 022 01127 00100 00081 0.606 0.019 008961 7.744  -39 -0.270 0.48352 0.01079
0304-51609-0180 141840.40-002516.60 012 19.271 0.032 18.901 0.017 19.141 0.022 19.396 0.027 19.859 0.099 0.038 011.9 343.8 055.4 DA        016241 00300 8.055 0.064   30   25 010 01253 00341 00281 0.643 0.034 016241 8.055    0  0.000 0.64335 0.02391
0304-51609-0345 141708.82+005827.33 020 18.562 0.020 18.132 0.019 18.258 0.019 18.439 0.021 18.606 0.046 0.032 037.8 344.7 056.7 DA        011494 00070 8.118 0.047    3   11 018 00147 00169 00141 0.669 0.027 011451 7.984  -43 -0.134 0.59516 0.01747
