,Unnamed: 0,Unnamed: 0.1,bestObjID,specObjID,plate,mjd,fiberID,url,source_id,object_num,mainseq_source,mainseq_bestobjid,mainseq_sourceobjid,mainseq_plate,mainseq_mjd,mainseq_fiberID,mainseq_url
348,348,20022,1237654381977076026,6.453827696946291e+18,5732,56326,616,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5732/spec-5732-56326-0616.fits,1016427924977024768,2,1016427924977024768,1237654381977076026,6.453827696946291e+18,5732,56326,616,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5732/spec-5732-56326-0616.fits
349,349,20085,1237664817680351393,4.4732427503895593e+18,3973,55323,154,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/3973/spec-3973-55323-0154.fits,1517038524040565504,2,1517038524040565504,1237664817680351393,4.4732427503895593e+18,3973,55323,154,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/3973/spec-3973-55323-0154.fits
350,350,20102,1237662244984127823,5.476513031864164e+18,4864,55680,494,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4864/spec-4864-55680-0494.fits,3720353242194961664,2,3720353242194961664,1237662244984127823,5.476513031864164e+18,4864,55680,494,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4864/spec-4864-55680-0494.fits
351,351,20121,1237657584951164975,8.806837567964029e+18,7822,57041,176,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/7822/spec-7822-57041-0176.fits,2497677379892554240,2,2497677379892554240,1237657584951164975,7.960241899233874e+17,707,52177,47,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0707/spec-0707-52177-0047.fits
352,352,20154,1237668290687008817,5.967289947593351e+18,5300,55982,74,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5300/spec-5300-55982-0074.fits,607478387644308736,2,607478387644308736,1237668290687008817,5.967289947593351e+18,5300,55982,74,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5300/spec-5300-55982-0074.fits
353,353,20162,1237680332711395614,7.319545223482155e+18,6501,56563,254,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6501/spec-6501-56563-0254.fits,2869519911620155904,2,2869519911620155904,1237680332711395614,7.319545223482155e+18,6501,56563,254,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6501/spec-6501-56563-0254.fits
354,354,20233,1237667324324347972,7.24518002569089e+18,6435,56341,51,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6435/spec-6435-56341-0051.fits,3998275593759464576,2,3998275593759464576,1237667324324347972,7.24518002569089e+18,6435,56341,51,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6435/spec-6435-56341-0051.fits
355,355,20243,1237667733985689697,6.152181075030286e+18,5464,56035,960,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5464/spec-5464-56035-0960.fits,1236032905651183872,2,1236032905651183872,1237667733985689697,6.152181075030286e+18,5464,56035,960,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5464/spec-5464-56035-0960.fits
356,356,20286,1237662194525929515,7.468233826918965e+18,6633,56369,508,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6633/spec-6633-56369-0508.fits,1536694184174598016,2,1536694184174598016,1237662194525929515,7.468233826918965e+18,6633,56369,508,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6633/spec-6633-56369-0508.fits
357,357,20381,1237662340010279066,5.316586317747823e+18,4722,55735,316,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4722/spec-4722-55735-0316.fits,1273176809324669440,2,1273176809324669440,1237662340010279066,5.316586317747823e+18,4722,55735,316,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4722/spec-4722-55735-0316.fits
358,358,20383,1237655369289498652,7.701383623623025e+18,6840,56685,830,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6840/spec-6840-56685-0830.fits,1580338473603959808,2,1580338473603959808,1237655369289498652,7.701383623623025e+18,6840,56685,830,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6840/spec-6840-56685-0830.fits
359,359,20397,1237651272417018057,4.132204482657231e+18,3670,55480,552,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/3670/spec-3670-55480-0552.fits,923269951184230784,2,923269951184230784,1237651272417018057,4.86414080131754e+17,432,51884,92,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0432/spec-0432-51884-0092.fits
