element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,3,"=""3328.1647""","=""0.0008""","=""3328.1644""","=""0.0003""","=""9""","=""""",,"=""7176.10661""","=""10180.76592""","=""6d.7s""","=""3D""","=""2""","=""5f.6d""","=""3D*""","=""2""",,"=""""","=""L9974""",
C,1,"=""3329.502""","=""0.004""","=""3329.5067""","=""0.0004""","=""6600bl""","=""5.6e+05""",C+,"=""80834.62491""","=""83838.0728""","=""2s2.2p.4p""","=""3D""","=""3""","=""2s2.2p.4d""","=""3D*""","=""2""",,"=""T6070n""","=""L12175c183""",
Fe,2,"=""3329.527""","=""0.003""","=""3329.5244""","=""0.0009""","=""0.07""","=""""",,"=""107163.871""","=""110167.303""","=""3d6.(5D).6p""","=""4P*""","=""5/2""","=""3d6.(3G).4d""","=""4F""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""3330.258""","=""0.006""","=""3330.2595""","=""0.0008""","=""0.07""","=""""",,"=""105127.773""","=""108130.542""","=""3d6.(5D).5d""","=""4D""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""5/2""",,"=""""","=""L18349c139""",
Ne,1,"=""3332.5251""","=""0.0016""","=""3332.5236""","=""0.0025""","=""5""","=""""",,"=""167867.1941""","=""170867.923""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
Sc,1,"=""3332.61""","=""0.03""","=""3332.599""","=""0.024""","=""2""","=""""",,"=""33763.534""","=""36764.195""","=""3d3""","=""4F""","=""3/2""","=""3d2.(3P).4p""","=""4D*""","=""1/2""",,"=""""","=""L4189c12""",
C,1,"=""3333.2621""","=""0.0006""","=""3333.2627""","=""0.0003""","=""9500""","=""5.8e+05""",B,"=""78105.00058""","=""81105.06418""","=""2s2.2p.4s""","=""3P*""","=""0""","=""2s2.2p.4p""","=""3S""","=""1""",,"=""T6070n""","=""L12175c183""",
Th,2,"=""3333.6367""","=""0.0014""","=""3333.63636""","=""0.00017""","=""0""","=""""",,"=""13818.33810""","=""16818.06540""","=""5f.6d.(3F*).7s""","=""*""","=""7/2""","=""6d3""","=""2G""","=""7/2""",,"=""""","=""L9974""",
Fe,2,"=""3333.745""","=""0.002""","=""3333.7467""","=""0.0006""","=""0.17""","=""""",,"=""103814.552""","=""106814.180""","=""3d6.(5D).5d""","=""4F""","=""7/2""","=""3d6.(5D).6p""","=""6D*""","=""5/2""",,"=""""","=""L18349c139""",
Th,1,"=""3333.8064""","=""0.0010""","=""3333.80490""","=""0.00009""","=""3""","=""""",,"=""24981.11021""","=""27980.68586""","=""""","=""*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L9974""",
Ne,1,"=""3334.1790""","=""0.0004""","=""3334.1793""","=""0.0010""","=""230""","=""6.48e+05""",B+,"=""163657.2726""","=""166656.5114""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ar,2,"=""3334.369""","=""0.002""","=""3334.3710""","=""0.0009""","=""8""","=""""",,"=""204937.8473""","=""207936.9137""","=""3s2.3p4.(3P<2>).5f""","=""2[4]*""","=""9/2""","=""3s2.3p4.(3P).6d""","=""4F""","=""9/2""",,"=""""","=""L11520""",
Fe,2,"=""3334.696""","=""0.002""","=""3334.6928""","=""0.0007""","=""0.09""","=""""",,"=""104828.163""","=""107826.940""","=""3d6.(5D).5d""","=""6D""","=""5/2""","=""3d6.(5D).6p""","=""6P*""","=""3/2""",,"=""""","=""L18349c139""",
C,1,"=""3335.4905""","=""0.0008""","=""3335.4907""","=""0.0004""","=""13000""","=""1.52e+06""",B,"=""81105.06418""","=""84103.1238""","=""2s2.2p.4p""","=""3S""","=""1""","=""2s2.2p.4d""","=""3P*""","=""2""",,"=""T6070n""","=""L12175c183""",
Zn,1,"=""3335.996""","=""0.012""","=""3335.999""","=""0.004""","=""1800""","=""""",,"=""68338.5233""","=""71336.126""","=""3d10.4s.5d""","=""1D""","=""2""","=""3d10.4s.5f""","=""1F*""","=""3""",,"=""""","=""L18676""",
Ne,1,"=""3336.1478""","=""0.0004""","=""3336.1476""","=""0.0010""","=""1700""","=""2.55e+06""",B+,"=""162830.7073""","=""165828.1766""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Sc,1,"=""3338.89""","=""0.03""","=""3338.885""","=""0.020""","=""8""","=""""",,"=""33798.633""","=""36793.645""","=""3d3""","=""4F""","=""5/2""","=""3d2.(3P).4p""","=""4D*""","=""3/2""",,"=""""","=""L4189c12""",
Fe,2,"=""3340.0009""","=""0.0015""","=""3340.0011""","=""0.0008""","=""0.17""","=""""",,"=""104023.921""","=""107017.932""","=""3d6.(5D).5d""","=""4F""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""3340.684""","=""0.011""","=""3340.6862""","=""0.0010""","=""0.05""","=""""",,"=""104757.143""","=""107750.540""","=""3d6.(5D).5d""","=""6D""","=""1/2""","=""3d6.(5D).6p""","=""4D*""","=""1/2""",,"=""""","=""L18349c139""",
Kr,1,"=""3341.0""","=""1.0""","=""3341.877+""","=""0.011""","=""*""","=""""",,"=""94092.8626""","=""97085.193""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",,"=""""","=""L4227""",
Kr,1,"=""3341.0""","=""1.0""","=""3340.9673+""","=""0.0016""","=""*""","=""""",,"=""99894.0485""","=""102887.1936""","=""4s2.4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""",,"=""""","=""L4227""",
Ti,1,"=""3341.932""","=""0.013""","=""3341.926""","=""0.006""","=""5""","=""""",,"=""39662.081""","=""42654.3674""","=""3d3.(2D2).4p""","=""s 3D*""","=""1""","=""3d2.4s.(4F).4d""","=""3D""","=""1""",,"=""""","=""L10989""",
Fe,2,"=""3342.858""","=""0.002""","=""3342.8583""","=""0.0004""","=""0.14""","=""""",,"=""104507.058""","=""107498.510""","=""3d6.(3H).4d""","=""4F""","=""5/2""","=""3d6.(5D).6p""","=""4D*""","=""3/2""",,"=""""","=""L18349c139""",
Fe,2,"=""3343.6503""","=""0.0010""","=""3343.6496""","=""0.0004""","=""0.3bl(Ne)""","=""""",,"=""104380.941""","=""107371.685""","=""3d6.(5D).5d""","=""6F""","=""7/2""","=""3d5.(2D1).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L18349c148""",
C,1,"=""3344.7075""","=""0.0011""","=""3344.7063""","=""0.0003""","=""8200""","=""7.1e+05""",B,"=""80801.28887""","=""83791.0880""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.5s""","=""3P*""","=""2""",,"=""T6070n""","=""L12175c183""",
Fe,2,"=""3345.772""","=""0.003""","=""3345.7740""","=""0.0010""","=""0.1""","=""3.5e+04""",D+,"=""103857.804""","=""106846.649""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""5/2""","=""3d6.(5D).5d""","=""4F""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Th,2,"=""3345.8531""","=""0.0006""","=""3345.85273""","=""0.00017""","=""41""","=""""",,"=""6213.49036""","=""9202.26506""","=""6d2.(3F).7s""","=""4F""","=""9/2""","=""5f.6d.(1G*).7s""","=""2G*""","=""7/2""",,"=""""","=""L9974""",
C,1,"=""3346.39465""","=""0.00022""","=""3346.39451""","=""0.00013""","=""27000""","=""1.57e+06""",B,"=""78116.77336""","=""81105.06418""","=""2s2.2p.4s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3S""","=""1""",,"=""T6070n""","=""L12175c183""",
Th,1,"=""3347.7754""","=""0.0012""","=""3347.77340""","=""0.00006""","=""1""","=""""",,"=""20214.92997""","=""23201.98997""","=""6d2.7s.7p""","=""5D*""","=""3""","=""5f.6d.7s.7p""","=""5G""","=""3""",,"=""""","=""L9974""",
Fe,2,"=""3347.898""","=""0.003""","=""3347.8967""","=""0.0007""","=""0.09""","=""""",,"=""104839.990""","=""107826.940""","=""3d6.(3F2).4d""","=""4P""","=""3/2""","=""3d6.(5D).6p""","=""6P*""","=""3/2""",,"=""""","=""L18349c139""",
Th,1,"=""3347.9212""","=""0.0009""","=""3347.92079""","=""0.00011""","=""5""","=""""",,"=""25355.57481""","=""28342.50330""","=""""","=""*""","=""4""","=""5f.7s2.7p""","=""3G""","=""5""",,"=""""","=""L9974""",
Fe,2,"=""3348.135""","=""0.004""","=""3348.1343""","=""0.0015""","=""0.09""","=""""",,"=""104736.462""","=""107723.200""","=""3d6.(3P2).4d""","=""2P""","=""1/2""","=""3d6.(5D).6p""","=""6F*""","=""1/2""",,"=""""","=""L18349c139""",
Fe,1,"=""3349.564""","=""0.003""","=""3349.5631""","=""0.0016""","=""417""","=""""",,"=""48163.446""","=""51148.910""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5S""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""3351.591""","=""0.003""","=""3351.589""","=""0.003""","=""540""","=""""",,"=""54807.250""","=""57790.909""","=""3d7.(4F).5p""","=""3D*""","=""1""","=""3d7.(4F).6s""","=""3F""","=""2""",,"=""""","=""L11631""",
Ne,1,"=""3352.0419""","=""0.0004""","=""3352.0423""","=""0.0010""","=""47""","=""4.20e+04""",C+,"=""159534.6196""","=""162517.8755""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",,"=""T6976""","=""L9097""",
Fe,1,"=""3352.351""","=""0.003""","=""3352.3512""","=""0.0016""","=""191""","=""""",,"=""44022.525""","=""47005.506""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""4""","=""3d7.(4F).5s""","=""e 5F""","=""5""",,"=""""","=""L11631""",
Xe,1,"=""3353.61""","=""""","=""3353.61+""","=""0.11""","=""22:""","=""""",,"=""91152.670""","=""94134.53""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""3""",,"=""""","=""L2228""",
Th,1,"=""3354.4076""","=""0.0010""","=""3354.40702""","=""0.00018""","=""3""","=""""",,"=""27591.80212""","=""30572.95496""","=""6d4""","=""3H""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L9974""",
Fe,1,"=""3355.205""","=""0.009""","=""3355.2025""","=""0.0016""","=""105""","=""""",,"=""48350.606""","=""51331.052""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""3355.515""","=""0.009""","=""3355.5155""","=""0.0016""","=""98""","=""""",,"=""48238.847""","=""51219.015""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""3355.691""","=""0.003""","=""3355.690""","=""0.005""","=""510""","=""""",,"=""54530.653""","=""57510.666""","=""3d7.(4F).5p""","=""5D*""","=""2""","=""3d7.(4F).6s""","=""5F""","=""3""",,"=""""","=""L11631""",
Ne,2,"=""3356.431""","=""0.005""","=""3356.431""","=""0.005""","=""18""","=""""",,"=""314927.6979""","=""317907.053""","=""2s2.2p4.(3P).6p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).6d""","=""4D""","=""3/2""",,"=""""","=""L11301""",
Xe,1,"=""3357.67""","=""0.10""","=""3357.841+""","=""0.016""","=""""","=""""",,"=""89243.258""","=""92221.362""","=""5p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[5/2]""","=""2""",,"=""""","=""L2228""",
Xe,1,"=""3357.67""","=""0.10""","=""3357.664+""","=""0.016""","=""""","=""""",,"=""88469.213""","=""91447.474""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""","=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""""","=""L2228""",
Ar,2,"=""3360.7580""","=""0.0003""","=""3360.7578""","=""0.0003""","=""62""","=""""",,"=""200032.2867""","=""203007.8061""","=""3s2.3p4.(3P).6s""","=""2P""","=""3/2""","=""3s2.3p4.(1D).5p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
Th,2,"=""3362.5179""","=""0.0009""","=""3362.51559""","=""0.00023""","=""5""","=""""",,"=""15144.73767""","=""18118.70158""","=""5f.6d.(3P*).7s""","=""*""","=""3/2""","=""6d3""","=""""","=""3/2""",,"=""""","=""L9974""",
Ar,2,"=""3362.5320""","=""0.0006""","=""3362.5330""","=""0.0008""","=""36bl""","=""""",,"=""199446.6269""","=""202420.5754""","=""3s2.3p4.(1D).4d""","=""2P""","=""1/2""","=""3s2.3p4.(3P).6p""","=""4P*""","=""1/2""",,"=""""","=""L11520""",
Ne,1,"=""3362.8670""","=""0.0008""","=""3362.8665""","=""0.0016""","=""14""","=""""",,"=""167559.0633""","=""170532.7169""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""""","=""L9097""",
Cr,1,"=""3363.045""","=""0.011""","=""3363.050""","=""0.005""","=""2""","=""""",,"=""33060.661""","=""36034.1524""","=""3d5.(2F1).4s""","=""b 3F""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""",,"=""""","=""L14866""",
Th,2,"=""3363.0631""","=""0.0007""","=""3363.06283""","=""0.00023""","=""31""","=""""",,"=""16906.59928""","=""19880.07926""","=""5f.(2F*).6d2.(3F)""","=""*""","=""7/2""","=""6d3""","=""2G""","=""9/2""",,"=""""","=""L9974""",
Ne,2,"=""3363.848""","=""0.009""","=""3363.8514""","=""0.0023""","=""9""","=""""",,"=""302425.8139""","=""305398.5968""","=""2s2.2p4.(3P).4d""","=""2D""","=""3/2""","=""2s2.2p4.(1S).3p""","=""2P*""","=""3/2""",,"=""""","=""L11301""",
C,1,"=""3364.782""","=""0.004""","=""3364.7866""","=""0.0017""","=""2500""","=""4.9e+05""",D+,"=""83497.58690""","=""86469.5436""","=""2s2.2p.4d""","=""1D*""","=""2""","=""2s2.2p.(2P*<3/2>).5f""","=""2[7/2]""","=""3""",,"=""T9787""","=""L12175c183""",
Ti,1,"=""3365.492""","=""0.014""","=""3365.500""","=""0.007""","=""4""","=""""",,"=""39198.323""","=""42169.6496""","=""3d3.(2H).4p""","=""x 3H*""","=""6""","=""3d2.4s.(4F).4d""","=""3G""","=""5""",,"=""""","=""L10989""",
Ar,2,"=""3366.337""","=""0.002""","=""3366.3376""","=""0.0005""","=""7""","=""""",,"=""200623.7672""","=""203594.3546""","=""3s2.3p4.(3P).6s""","=""2P""","=""1/2""","=""3s2.3p4.(1D).5p""","=""2P*""","=""1/2""",,"=""""","=""L11520""",
Th,2,"=""3366.3698""","=""0.0006""","=""3366.36947""","=""0.00018""","=""51""","=""""",,"=""8605.84210""","=""11576.40136""","=""6d2.(3F).7s""","=""2F""","=""5/2""","=""5f.6d.(1D*).7s""","=""2D*""","=""3/2""",,"=""""","=""L9974""",
Fe,2,"=""3366.6458""","=""0.0014""","=""3366.6452""","=""0.0007""","=""0.11""","=""1.7e+03""",E,"=""104916.552""","=""107886.868""","=""3d6.(3F2).4d""","=""4F""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
C,1,"=""3367.0139""","=""0.0018""","=""3367.0151""","=""0.0006""","=""4900""","=""7.2e+05""",B,"=""80782.44916""","=""83752.4388""","=""2s2.2p.4p""","=""3D""","=""1""","=""2s2.2p.5s""","=""3P*""","=""1""",,"=""T6070n""","=""L12175c183""",
Xe,1,"=""3367.59""","=""""","=""3367.590+""","=""0.016""","=""3500:""","=""5.90e+05""",B+,"=""78956.031""","=""81925.514""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T7944""","=""L2228""",
Ne,1,"=""3368.6444""","=""0.0015""","=""3368.6453""","=""0.0016""","=""2""","=""""",,"=""168355.4583""","=""171324.0107""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L9097""",
Fe,2,"=""3368.673""","=""0.010""","=""3368.6764""","=""0.0010""","=""0.05bl(Ne)""","=""""",,"=""107459.780""","=""110428.305""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""7/2""","=""3d6.(3G).4d""","=""4F""","=""5/2""",,"=""""","=""L18349c148""",
Th,2,"=""3368.8578""","=""0.0005""","=""3368.85754""","=""0.00012""","=""110""","=""""",,"=""1521.89632""","=""4490.26167""","=""6d2.(3F).7s""","=""4F""","=""5/2""","=""5f.7s2""","=""2F*""","=""5/2""",,"=""""","=""L9974""",
Ar,2,"=""3369.9771""","=""0.0008""","=""3369.9770""","=""0.0005""","=""13""","=""""",,"=""186470.3603""","=""189437.7396""","=""3s2.3p4.(3P).4d""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""1/2""",,"=""""","=""L11520""",
Fe,2,"=""3371.4789""","=""0.0013""","=""3371.4794""","=""0.0008""","=""0.2""","=""""",,"=""104757.143""","=""107723.200""","=""3d6.(5D).5d""","=""6D""","=""1/2""","=""3d6.(5D).6p""","=""6F*""","=""1/2""",,"=""""","=""L18349c139""",
Th,1,"=""3371.5768""","=""0.0013""","=""3371.57662""","=""0.00010""","=""1""","=""""",,"=""26790.42715""","=""29756.39860""","=""""","=""*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Ne,1,"=""3371.7548""","=""0.0005""","=""3371.7546""","=""0.0016""","=""8""","=""""",,"=""167591.2335""","=""170557.0484""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
Ne,1,"=""3372.2372""","=""0.0011""","=""3372.2371""","=""0.0016""","=""3""","=""""",,"=""168358.6202""","=""171324.0107""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L9097""",
C,1,"=""3372.70028""","=""0.00023""","=""3372.70026""","=""0.00023""","=""39000""","=""3.9e+06""",B,"=""80782.44916""","=""83747.43248""","=""2s2.2p.4p""","=""3D""","=""1""","=""2s2.2p.4d""","=""3F*""","=""2""",,"=""T6070n""","=""L12175c183""",
C,1,"=""3373.82952""","=""0.00011""","=""3373.82951""","=""0.00011""","=""62000""","=""4.4e+06""",B,"=""80834.62491""","=""83798.61582""","=""2s2.2p.4p""","=""3D""","=""3""","=""2s2.2p.4d""","=""3F*""","=""4""",,"=""T6070n""","=""L12175c183""",
Fe,2,"=""3373.97876""","=""0.00019""","=""3373.9785""","=""0.0007""","=""2bl(Fe I)""","=""""",,"=""104863.080""","=""107826.940""","=""3d6.(5D).5d""","=""6P""","=""3/2""","=""3d6.(5D).6p""","=""6P*""","=""3/2""",,"=""""","=""L18349c148""",
Fe,1,"=""3373.979""","=""0.023""","=""3373.989""","=""0.003""","=""2880bl""","=""""",,"=""51566.802""","=""54530.653""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""1""","=""3d7.(4F).5p""","=""5D*""","=""2""",,"=""""","=""L11631""",
V,1,"=""3374.047""","=""0.002""","=""3374.0537""","=""0.0020""","=""180""","=""1.9e+06""",C,"=""43266.336""","=""46230.130""","=""3d4.(5D).5p""","=""s 4F*""","=""9/2""","=""3d4.(5D).6s""","=""4D""","=""7/2""",,"=""u38""","=""L11697""",
Th,1,"=""3374.3353""","=""0.0013""","=""3374.33444""","=""0.00014""","=""1""","=""""",,"=""24032.22651""","=""26995.77389""","=""5f.6d.7s.7p""","=""5G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L9974""",
Th,2,"=""3374.9415""","=""0.0007""","=""3374.94137""","=""0.00018""","=""21""","=""""",,"=""10855.32366""","=""13818.33810""","=""6d3""","=""""","=""7/2""","=""5f.6d.(3F*).7s""","=""*""","=""7/2""",,"=""""","=""L9974""",
Fe,1,"=""3375.093""","=""0.009""","=""3375.0934""","=""0.0016""","=""102""","=""""",,"=""44415.074""","=""47377.955""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""4""","=""3d7.(4F).5s""","=""e 5F""","=""4""",,"=""""","=""L11631""",
Th,1,"=""3375.35105""","=""0.00023""","=""3375.35039""","=""0.00005""","=""100""","=""""",,"=""15736.968041""","=""18699.62342""","=""6d2.7s.7p""","=""5F*""","=""1""","=""5f.7s2.7p""","=""3F""","=""2""",,"=""""","=""L14361""",
Fe,2,"=""3376.548""","=""0.004""","=""3376.5498""","=""0.0008""","=""0.04""","=""""",,"=""105230.291""","=""108191.894""","=""3d6.(5D).5d""","=""4D""","=""3/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""3/2""",,"=""""","=""L18349c139""",
Al,1,"=""3377.31""","=""0.10""","=""3377.307""","=""0.010""","=""10""","=""2.90e+05""",A,"=""42233.742""","=""45194.681""","=""3s2.4d""","=""2D""","=""3/2""","=""3s2.6f""","=""2F*""","=""5/2""",,"=""u36,LS""","=""L6693""",
Th,1,"=""3377.5810""","=""0.0009""","=""3377.58074""","=""0.00015""","=""7""","=""""",,"=""18614.33811""","=""21575.03713""","=""6d2.7s.7p""","=""5D*""","=""1""","=""6d3.(2P).7s""","=""""","=""2""",,"=""""","=""L9974""",
Th,1,"=""3378.1535""","=""0.0009""","=""3378.15298""","=""0.00008""","=""7""","=""""",,"=""15970.09583""","=""18930.29333""","=""6d3.(2D2).7s""","=""""","=""3""","=""6d2.7s.7p""","=""3G*""","=""3""",,"=""""","=""L9974""",
C,1,"=""3378.39516""","=""0.00011""","=""3378.39516""","=""0.00011""","=""46000""","=""4.0e+06""",B,"=""80801.28887""","=""83761.27417""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.4d""","=""3F*""","=""3""",,"=""T6070n""","=""L12175c183""",
Th,1,"=""3379.30570""","=""0.00018""","=""3379.30566""","=""0.00009""","=""120""","=""""",,"=""14206.91694""","=""17166.10472""","=""5f.6d.7s2""","=""3F*""","=""4""","=""6d3.(2H).7s""","=""3H""","=""5""",,"=""""","=""L14361""",
Cs,2,"=""3380.9990""","=""0.0009""","=""3380.9989""","=""0.0013""","=""150""","=""""",,"=""152800.4209""","=""155758.1267""","=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""",,"=""""","=""L12126""",
Fe,2,"=""3381.0639""","=""0.0015""","=""3381.0650""","=""0.0009""","=""0.19""","=""""",,"=""105234.246""","=""108191.894""","=""3d6.(3P2).4d""","=""4P""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""3/2""",,"=""""","=""L18349c139""",
C,1,"=""3381.0660""","=""0.0013""","=""3381.0658""","=""0.0011""","=""8400""","=""2.9e+06""",B,"=""80782.44916""","=""83740.0964""","=""2s2.2p.4p""","=""3D""","=""1""","=""2s2.2p.5s""","=""3P*""","=""0""",,"=""T6070n""","=""L12175c183""",
Ne,1,"=""3381.3686""","=""0.0016""","=""3381.3679""","=""0.0016""","=""3""","=""""",,"=""168355.4583""","=""171312.8413""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""""","=""L9097""",
C,1,"=""3381.85621""","=""0.00011""","=""3381.85627""","=""0.00010""","=""39000""","=""2.09e+06""",B,"=""78148.10824""","=""81105.06418""","=""2s2.2p.4s""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3S""","=""1""",,"=""T6070n""","=""L12175c183""",
Al,1,"=""3381.92""","=""0.10""","=""3381.923""","=""0.010""","=""10d""","=""3.09e+05""",A,"=""42237.783""","=""45194.681""","=""3s2.4d""","=""2D""","=""5/2""","=""3s2.6f""","=""2F*""","=""7/2""",,"=""u36,LS""","=""L6693""",
C,1,"=""3382.4206""","=""0.0005""","=""3382.4200""","=""0.0003""","=""17000""","=""1.95e+06""",B,"=""80834.62491""","=""83791.0880""","=""2s2.2p.4p""","=""3D""","=""3""","=""2s2.2p.5s""","=""3P*""","=""2""",,"=""T6070n""","=""L12175c183""",
Fe,1,"=""3382.683""","=""0.003""","=""3382.6810""","=""0.0016""","=""650""","=""""",,"=""40207.091""","=""43163.326""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""3382.81959""","=""0.00018""","=""3382.8183""","=""0.0013""","=""6""","=""""",,"=""103936.602""","=""106892.717""","=""3d6.(5D).5d""","=""6F""","=""11/2""","=""3d6.(5D).6p""","=""6F*""","=""11/2""",,"=""""","=""L18349c145""",
Fe,1,"=""3382.954""","=""0.003""","=""3382.9545""","=""0.0016""","=""680""","=""""",,"=""45333.875""","=""48289.871""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""2""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""1""",,"=""""","=""L11631""",
Ti,1,"=""3383.403""","=""0.014""","=""3383.411""","=""0.007""","=""8""","=""""",,"=""25926.771""","=""28882.368""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""4""","=""3d4""","=""a 5D""","=""3""",,"=""""","=""L10989""",
Ar,2,"=""3383.459""","=""0.002""","=""3383.4628""","=""0.0017""","=""7""","=""""",,"=""205056.3109""","=""208011.8628""","=""3s2.3p4.(3P<2>).5f""","=""2[2]*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""4D""","=""3/2""",,"=""""","=""L11520""",
Fe,2,"=""3384.980""","=""0.006""","=""3384.9504""","=""0.0006""","=""0.05""","=""""",,"=""104209.618""","=""107163.871""","=""3d6.(3H).4d""","=""2F""","=""5/2""","=""3d6.(5D).6p""","=""4P*""","=""5/2""",,"=""""","=""L18349c145""",
Ne,1,"=""3384.9869""","=""0.0009""","=""3384.9870""","=""0.0016""","=""3""","=""""",,"=""168358.6202""","=""171312.8413""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""""","=""L9097""",
Fe,1,"=""3385.107""","=""0.009""","=""3385.0994""","=""0.0016""","=""49""","=""""",,"=""51334.911""","=""54289.034""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""4""","=""3d7.(4F).5p""","=""3F*""","=""3""",,"=""""","=""L11631""",
