element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,1,"=""3940.346""","=""0.005""","=""3940.3483""","=""0.0022""","=""4""","=""""",,"=""167001.1327""","=""169538.9794""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L9097""",
Cs,1,"=""3943.2001""","=""0.0016""","=""3943.200""","=""0.004""","=""16*""","=""""",,"=""24472.0455""","=""27008.0569""","=""5p6.4f""","=""2F*""","=""7/2""","=""5p6.5g""","=""2G""","=""9/2""",,"=""""","=""L5289""",
Cs,1,"=""3943.2001""","=""0.0016""","=""3943.204""","=""0.004""","=""16*""","=""""",,"=""24472.0455""","=""27008.0541""","=""5p6.4f""","=""2F*""","=""7/2""","=""5p6.5g""","=""2G""","=""7/2""",,"=""""","=""L5289""",
Cs,1,"=""3943.4864""","=""0.0016""","=""3943.486""","=""0.004""","=""13""","=""""",,"=""24472.2269""","=""27008.0541""","=""5p6.4f""","=""2F*""","=""5/2""","=""5p6.5g""","=""2G""","=""7/2""",,"=""""","=""L5289""",
Zn,1,"=""3944.100""","=""0.014""","=""3944.099""","=""0.012""","=""11000""","=""""",,"=""68833.807""","=""71369.240""","=""3d10.4s.4f""","=""3F*""","=""2""","=""3d10.4s.5g""","=""3G""","=""3""",,"=""""","=""L18676""",
Zn,1,"=""3944.19""","=""0.04""","=""3944.179""","=""0.025""","=""14000""","=""""",,"=""68833.858""","=""71369.240""","=""3d10.4s.4f""","=""3F*""","=""3""","=""3d10.4s.5g""","=""3G""","=""4""",,"=""""","=""L18676""",
Zn,1,"=""3944.42""","=""0.04""","=""3944.426""","=""0.020""","=""18000""","=""""",,"=""68834.017""","=""71369.240""","=""3d10.4s.4f""","=""3F*""","=""4""","=""3d10.4s.5g""","=""3G""","=""5""",,"=""""","=""L18676""",
Zn,1,"=""3944.750""","=""0.020""","=""3944.755""","=""0.017""","=""15000""","=""""",,"=""68834.228""","=""71369.240""","=""3d10.4s.4f""","=""1F*""","=""3""","=""3d10.4s.5g""","=""1G""","=""4""",,"=""""","=""L18676""",
Ne,1,"=""3945.7774""","=""0.0004""","=""3945.7774""","=""0.0022""","=""640""","=""""",,"=""167000.0317""","=""169534.3865""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[9/2]""","=""5""",,"=""""","=""L9097""",
Ne,1,"=""3947.4992""","=""0.0004""","=""3947.4984""","=""0.0022""","=""430""","=""""",,"=""167001.1327""","=""169534.3826""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[9/2]""","=""4""",,"=""""","=""L9097""",
Fe,2,"=""3947.7777""","=""0.0008""","=""3947.7803""","=""0.0009""","=""0.22""","=""""",,"=""105414.186""","=""107947.255""","=""3d6.(3F2).4d""","=""4G""","=""5/2""","=""3d6.(5D).6p""","=""4P*""","=""3/2""",,"=""""","=""L18349c139""",
Xe,1,"=""3948.393""","=""0.100""","=""3948.40+""","=""0.16""","=""400""","=""""",,"=""90907.090""","=""93439.76""","=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""",,"=""""","=""L234""",
Kr,1,"=""3949.7513""","=""0.0010""","=""3949.7290+""","=""0.0022""","=""1100""","=""""",,"=""103115.6343""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""""","=""L234""",
